ÉCLATS SAUVAGES — VALDORA V107K
TABLE DE CORRESPONDANCE DES NOUVEAUX NOMS

Les identifiants numériques et les chemins de sprites restent inchangés.
Les sauvegardes sont donc compatibles : seul le nom affiché change.

ID | TYPE | ANCIEN NOM -> NOUVEAU NOM
091 | Air        | Vifin -> Colivif
092 | Air        | Vifor -> Brisecol
093 | Air        | Vifex -> Vireplume
094 | Ombre      | Obsidin -> Obsidrac
095 | Ombre      | Obsidor -> Vitrézard
096 | Ombre      | Obsidex -> Noxidrake
097 | Lumière    | Étherin -> Éthéchat
098 | Lumière    | Étheror -> Félisphère
099 | Lumière    | Étherex -> Célestélyx
100 | Lumière    | Valdorys -> Aurélion
101 | Nature     | Verdain -> Camousse
102 | Nature     | Verdor -> Verdécaille
103 | Nature     | Verdex -> Floracam
104 | Feu        | Magmin -> Taupise
105 | Feu        | Magmor -> Magrave
106 | Feu        | Magmex -> Vulcagriffe
107 | Eau        | Rivain -> Ornivive
108 | Eau        | Rivaor -> Nénupatte
109 | Eau        | Rivaex -> Riviéron
110 | Foudre     | Oragin -> Oragelet
111 | Foudre     | Oragor -> Fulgaile
112 | Foudre     | Oragex -> Céraunox
113 | Ombre      | Spectrin -> Vespombre
114 | Ombre      | Spectror -> Brumailes
115 | Ombre      | Spectrex -> Échonox
116 | Roche      | Cristin -> Quartzou
117 | Roche      | Cristor -> Pangéclat
118 | Roche      | Cristex -> Cristarmure
119 | Air        | Cirrin -> Nuagnot
120 | Air        | Cirror -> Brumouton
121 | Air        | Cirrex -> Cumulorne
122 | Spore      | Truffin -> Truffelet
123 | Spore      | Truffor -> Mycopique
124 | Spore      | Truffex -> Fongépine
125 | Glace      | Polarin -> Phoquivre
126 | Glace      | Polaror -> Glissel
127 | Glace      | Polarex -> Arctérive
128 | Lumière    | Auroin -> Gruelume
129 | Lumière    | Auroor -> Aurorail
130 | Lumière    | Auroex -> Soligrue
131 | Neutre     | Félyin -> Lynsou
132 | Neutre     | Félyor -> Grifélis
133 | Neutre     | Félyex -> Montélynx
134 | Eau        | Abyssin -> Lueuraby
135 | Eau        | Abyssor -> Bathyfin
136 | Eau        | Abyssex -> Abyssalux
137 | Feu        | Lavain -> Tisocoque
138 | Feu        | Lavaor -> Magmapace
139 | Feu        | Lavaex -> Vulcarap
140 | Nature     | Canopin -> Paressyl
141 | Nature     | Canopor -> Canoparesse
142 | Nature     | Canopex -> Sylvagrippe
143 | Foudre     | Tempestin -> Nuagalo
144 | Foudre     | Tempestor -> Fulguet
145 | Foudre     | Tempestex -> Céraunétalon
146 | Ombre      | Rêvin -> Rêvapi
147 | Ombre      | Rêvor -> Onitapir
148 | Ombre      | Rêvex -> Somnérêve
149 | Lumière    | Astryn -> Nébélis
150 | Lumière    | Astryss -> Cosmorys
151 | Légendaire | Sylvarion -> Viridrax
152 | Légendaire | Ignivar -> Caldéros
153 | Légendaire | Thalassys -> Pélagys
154 | Légendaire | Fulgurion -> Kéraunos
155 | Légendaire | Noctyrex -> Noxmachina
156 | Légendaire | Monolithys -> Dolméros
157 | Légendaire | Aeralyon -> Ouranosyl
158 | Légendaire | Mycelord -> Mycélion
159 | Légendaire | Crysalune -> Nivélys
160 | Légendaire | Solaryx -> Héliarque
161 | Légendaire | Equinoxe -> Axiomne
